status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
,,西北,2018-05-31 16:30:16,,,,http://oil.chem99.com/news/28091096.html,2018-05-03
,,西南,2018-05-31 16:30:16,,,,http://oil.chem99.com/news/28091096.html,2018-05-03
停工,30,山东,2018-05-31 16:30:17,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28158086.html,2018-05-10
产沥青,170,山东,2018-05-31 16:30:17,5月3日起产沥青,地炼,东明石化,http://oil.chem99.com/news/28158086.html,2018-05-10
产渣油,110,山东,2018-05-31 16:30:17,5月10日起转产渣油,地炼,滨阳燃化,http://oil.chem99.com/news/28158086.html,2018-05-10
产渣油,160,山东,2018-05-31 16:30:17,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/28158086.html,2018-05-10
未产,60,山东,2018-05-31 16:30:17,开工时间待定,地炼,岚桥石化,http://oil.chem99.com/news/28158086.html,2018-05-10
停工,30,华南,2018-05-31 16:30:17,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28158086.html,2018-05-10
检修,70,华东,2018-05-31 16:30:17,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28158086.html,2018-05-10
产沥青,70,华东,2018-05-31 16:30:17,7号已恢复沥青生产,中石化,上海石化,http://oil.chem99.com/news/28158086.html,2018-05-10
产渣油,100,华北,2018-05-31 16:30:18,预计13号恢复生产,地炼,鑫海石化,http://oil.chem99.com/news/28158086.html,2018-05-10
扩产能,70,华北,2018-05-31 16:30:18,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/28158086.html,2018-05-10
开工,50,西北,2018-05-31 16:30:18,开工推迟至20号左右，暂未生产沥青,中石化,塔河炼化,http://oil.chem99.com/news/28158086.html,2018-05-10
检修,100,东北,2018-05-31 16:30:18,时间待定，为期一个月,地炼,盘锦北沥,http://oil.chem99.com/news/28158086.html,2018-05-10
,,华南,2018-05-31 16:30:20,,,,http://oil.chem99.com/news/28159060.html,2018-05-10
,,华东,2018-05-31 16:30:20,,,,http://oil.chem99.com/news/28159060.html,2018-05-10
,,山东,2018-05-31 16:30:20,,,,http://oil.chem99.com/news/28159060.html,2018-05-10
,,东北,2018-05-31 16:30:20,,,,http://oil.chem99.com/news/28159060.html,2018-05-10
,,西北,2018-05-31 16:30:20,,,,http://oil.chem99.com/news/28159060.html,2018-05-10
,,西南,2018-05-31 16:30:20,,,,http://oil.chem99.com/news/28159060.html,2018-05-10
停工,30,山东,2018-05-31 16:30:22,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,170,山东,2018-05-31 16:30:22,5月16日起转产渣油,地炼,东明石化,http://oil.chem99.com/news/28224826.html,2018-05-17
产沥青,110,山东,2018-05-31 16:30:22,5月14日起转产沥青,地炼,滨阳燃化,http://oil.chem99.com/news/28224826.html,2018-05-17
